psi_deg,delta_DM,lo,hi,yhat
65,-42.11738737541532,-343.7235575000002,263.9303676785713,-47.16023612827446
66,-42.11738737541532,-337.64420124999987,264.13848607142876,-49.264099705056694
67,-42.11738737541532,-331.3334610714285,252.5557048214285,-51.3319426979035
68,-42.11738737541532,-345.85473696428585,271.96923607142827,-53.36313522180767
69,-42.11738737541532,-344.0609632142856,253.6627428571428,-55.357058555849775
70,-42.11738737541532,-344.7790399999998,228.51997928571393,-57.313105331666804
71,-42.11738737541532,-329.5511130357143,236.27884982142848,-59.23067971846213
72,-71.38101882352953,-385.6463989999997,249.9570839999995,-61.10919760450152
73,-70.46433303571439,-318.9493785937499,187.42054468749984,-62.9480867750393
74,-70.46433303571439,-362.68087265625013,182.61494859374972,-64.74678708662047
75,-85.17221098039226,-404.7875718333331,198.92493999999922,-66.5047506377057
76,-85.17221098039226,-344.8479298333333,173.08563199999992,-68.22144193556748
77,-85.17221098039226,-355.7225871666668,198.89595466666674,-69.89633805940657
78,-85.17221098039226,-377.5786496666663,183.32713866666643,-71.52892881963858
79,-85.17221098039226,-385.9632506666664,153.7232511666661,-73.11871691330266
80,-85.17221098039226,-389.9697273333334,201.70688283333317,-74.6652180755449
81,-85.17221098039226,-384.9252811666667,210.08776950000004,-76.16796122712994
82,-85.17221098039226,-376.6316075,184.5646175000003,-77.62648861793637
83,-85.17221098039226,-382.8724865,175.16966433333315,-79.040355966392
84,-85.17221098039226,-372.41131683333373,190.95195799999973,-80.40913259480597
85,-72.81694717607957,-357.77556625,240.9758028571429,-81.73240156055759
86,-165.62608549019592,-423.38084700000024,54.05078166666647,-83.00975978310116
87,-165.62608549019592,-431.7410340000001,52.39160233333272,-84.24081816674804
88,-156.85503988095206,-390.9739618750001,47.29071468750008,-85.42520171918905
89,-156.85503988095206,-398.42910703125006,52.5930067187499,-86.56254966572068
90,-156.85503988095206,-413.99956437499986,64.73270343750022,-87.65251555914072
91,-156.85503988095206,-409.2719915624999,63.20645874999964,-88.69476738527932
92,-156.85503988095206,-407.17902296874996,55.274461875000036,-89.68898766413368
93,-156.85503988095206,-395.0268101562499,60.86453843750005,-90.63487354657566
94,-156.85503988095206,-403.5204446875003,87.57364343749985,-91.53213690660242
95,-156.85503988095206,-390.9364396874998,48.91019156249984,-92.38050442910254
96,-156.85503988095206,-413.50141484375,52.110514687499794,-93.17971769311036
97,-86.27692289156607,-375.91890926470535,171.65042691176495,-93.9295332505235
98,-86.27692289156607,-364.24705088235294,168.62971749999983,-94.62972270025953
99,-86.27692289156607,-341.3613839705882,170.01648088235282,-95.28007275782919
100,-96.58479864498622,-359.3475513888889,144.50376499999987,-95.88038532030488
101,-101.25966692657562,-343.3684261842102,125.16095184210542,-96.43047752666466
102,-101.25966692657562,-338.2699401315788,108.31503868421031,-96.93018181349366
103,-101.25966692657562,-346.9744751315789,128.87249947368443,-97.37934596602533
104,-101.25966692657562,-336.02162486842116,115.67983539473688,-97.77783316450767
105,-101.25966692657562,-370.54656934210533,140.5822924999999,-98.12552202587985
106,-101.25966692657562,-363.9062415789471,116.37445513157907,-98.42230664074644
107,-103.45455749999974,-355.8564361250003,118.26824062499969,-98.66809660563881
108,-103.45455749999974,-374.4442065000001,122.39849375000009,-98.86281705055264
109,-103.45455749999974,-323.26724737499995,112.0606501249999,-99.00640866175407
110,-108.50281182586082,-370.0591601315786,140.71091631578938,-99.09882769984735
111,-108.50281182586082,-379.8969225,116.14705999999981,-99.1400460130982
112,-108.50281182586082,-326.3673456578949,107.69650197368435,-99.13005104600909
113,-108.50281182586082,-355.16895631578916,118.27383526315782,-99.06884584314382
114,-115.47874499999989,-353.7288206250002,112.78654062500013,-98.95644904820013
115,-115.47874499999989,-341.36235250000016,127.28215824999994,-98.79289489833052
116,-115.47874499999989,-363.15897612499975,136.18281974999965,-98.57823321371346
117,-115.47874499999989,-342.34341825000035,100.67011075000016,-98.31252938237755
118,-115.47874499999989,-356.300953875,92.5962726249999,-97.99586434028375
119,-115.47874499999989,-365.4315118749999,93.99006975000043,-97.62833454667147
120,-115.47874499999989,-347.71643962499974,136.84798587499955,-97.21005195467616
121,-115.47874499999989,-366.46926562500005,115.48052350000013,-96.74114397722742
122,-115.47874499999989,-346.9792032499998,123.85485400000026,-96.22175344823752
123,-83.2758026521999,-319.17206083333326,137.43894071428608,-95.65203857909306
124,-83.2758026521999,-336.76700083333304,120.39336702380935,-95.03217291046217
125,-54.86039495614045,-270.18797729166664,167.25338624999995,-94.36234525943222
126,-54.86039495614045,-284.7175955208333,160.19960458333335,-93.6427596619945
127,-45.87295717255688,-253.73858144230746,177.15185201923063,-92.87363531089282
128,5.329935211267639,-198.27010181034467,222.91647120689566,-92.05520648885515
